stamp,month,num_month,year,Value
Jan-89,Jan,1,1989,87958
Feb-89,Feb,2,1989,75817
Mar-89,Mar,3,1989,53779
Apr-89,Apr,4,1989,37832
May-89,May,5,1989,31161
Jun-89,Jun,6,1989,26581
Jul-89,Jul,7,1989,22730
Aug-89,Aug,8,1989,22977
Sep-89,Sep,9,1989,24184
Oct-89,Oct,10,1989,28083
Nov-89,Nov,11,1989,40070
Dec-89,Dec,12,1989,63104
Jan-90,Jan,1,1990,78572
Feb-90,Feb,2,1990,73931
Mar-90,Mar,3,1990,60247
Apr-90,Apr,4,1990,37602
May-90,May,5,1990,30979
Jun-90,Jun,6,1990,25125
Jul-90,Jul,7,1990,22555
Aug-90,Aug,8,1990,22334
Sep-90,Sep,9,1990,22093
Oct-90,Oct,10,1990,24435
Nov-90,Nov,11,1990,40091
Dec-90,Dec,12,1990,76544
Jan-91,Jan,1,1991,81885
Feb-91,Feb,2,1991,52982
Mar-91,Mar,3,1991,60602
Apr-91,Apr,4,1991,46136
May-91,May,5,1991,34795
Jun-91,Jun,6,1991,28515
Jul-91,Jul,7,1991,24971
Aug-91,Aug,8,1991,22944
Sep-91,Sep,9,1991,23383
Oct-91,Oct,10,1991,26211
Nov-91,Nov,11,1991,39238
Dec-91,Dec,12,1991,67035
Jan-92,Jan,1,1992,77875
Feb-92,Feb,2,1992,61574
Mar-92,Mar,3,1992,46860
Apr-92,Apr,4,1992,37311
May-92,May,5,1992,28422
Jun-92,Jun,6,1992,24100
Jul-92,Jul,7,1992,22397
Aug-92,Aug,8,1992,22039
Sep-92,Sep,9,1992,21969
Oct-92,Oct,10,1992,24434
Nov-92,Nov,11,1992,37291
Dec-92,Dec,12,1992,75266
Jan-93,Jan,1,1993,87565
Feb-93,Feb,2,1993,66015
Mar-93,Mar,3,1993,50594
Apr-93,Apr,4,1993,36252
May-93,May,5,1993,29411
Jun-93,Jun,6,1993,25116
Jul-93,Jul,7,1993,23646
Aug-93,Aug,8,1993,22749
Sep-93,Sep,9,1993,23934
Oct-93,Oct,10,1993,25932
Nov-93,Nov,11,1993,39240
Dec-93,Dec,12,1993,70513
Jan-94,Jan,1,1994,72586
Feb-94,Feb,2,1994,66977
Mar-94,Mar,3,1994,52478
Apr-94,Apr,4,1994,35315
May-94,May,5,1994,37223
Jun-94,Jun,6,1994,26995
Jul-94,Jul,7,1994,24541
Aug-94,Aug,8,1994,23620
Sep-94,Sep,9,1994,21949
Oct-94,Oct,10,1994,25961
Nov-94,Nov,11,1994,56469
Dec-94,Dec,12,1994,76846
Jan-95,Jan,1,1995,79509
Feb-95,Feb,2,1995,50614
Mar-95,Mar,3,1995,52461
Apr-95,Apr,4,1995,43743
May-95,May,5,1995,38489
Jun-95,Jun,6,1995,28924
Jul-95,Jul,7,1995,25181
Aug-95,Aug,8,1995,21306
Sep-95,Sep,9,1995,22148
Oct-95,Oct,10,1995,24743
Nov-95,Nov,11,1995,33646
Dec-95,Dec,12,1995,56731
Jan-96,Jan,1,1996,66779
Feb-96,Feb,2,1996,58007
Mar-96,Mar,3,1996,52226
Apr-96,Apr,4,1996,36723
May-96,May,5,1996,30001
Jun-96,Jun,6,1996,25996
Jul-96,Jul,7,1996,18649
Aug-96,Aug,8,1996,21757
Sep-96,Sep,9,1996,26104
Oct-96,Oct,10,1996,30462
Nov-96,Nov,11,1996,43702
Dec-96,Dec,12,1996,62905
Jan-97,Jan,1,1997,73871
Feb-97,Feb,2,1997,65672
Mar-97,Mar,3,1997,47664
Apr-97,Apr,4,1997,38704
May-97,May,5,1997,28268
Jun-97,Jun,6,1997,23226
Jul-97,Jul,7,1997,26444
Aug-97,Aug,8,1997,20643
Sep-97,Sep,9,1997,21448
Oct-97,Oct,10,1997,24538
Nov-97,Nov,11,1997,39940
Dec-97,Dec,12,1997,68486
Jan-98,Jan,1,1998,82305
Feb-98,Feb,2,1998,76213
Mar-98,Mar,3,1998,62009
Apr-98,Apr,4,1998,54074
May-98,May,5,1998,38119
Jun-98,Jun,6,1998,33208
Jul-98,Jul,7,1998,25149
Aug-98,Aug,8,1998,21625
Sep-98,Sep,9,1998,22038
Oct-98,Oct,10,1998,26159
Nov-98,Nov,11,1998,40200
Dec-98,Dec,12,1998,68831
Jan-99,Jan,1,1999,88358
Feb-99,Feb,2,1999,77994
Mar-99,Mar,3,1999,67420
Apr-99,Apr,4,1999,62128
May-99,May,5,1999,40605
Jun-99,Jun,6,1999,32960
Jul-99,Jul,7,1999,25727
Aug-99,Aug,8,1999,23376
Sep-99,Sep,9,1999,24496
Oct-99,Oct,10,1999,25265
Nov-99,Nov,11,1999,34488
Dec-99,Dec,12,1999,65679
Jan-00,Jan,1,2000,66741
Feb-00,Feb,2,2000,65334
Mar-00,Mar,3,2000,62855
Apr-00,Apr,4,2000,39046
May-00,May,5,2000,31735
Jun-00,Jun,6,2000,27625
Jul-00,Jul,7,2000,24448
Aug-00,Aug,8,2000,22116
Sep-00,Sep,9,2000,24496
Oct-00,Oct,10,2000,31757
Nov-00,Nov,11,2000,52106
Dec-00,Dec,12,2000,68470
Jan-01,Jan,1,2001,85495
Feb-01,Feb,2,2001,71801
Mar-01,Mar,3,2001,59144
Apr-01,Apr,4,2001,41839
May-01,May,5,2001,30699
Jun-01,Jun,6,2001,23066
Jul-01,Jul,7,2001,24195
Aug-01,Aug,8,2001,22473
Sep-01,Sep,9,2001,21331
Oct-01,Oct,10,2001,29189
Nov-01,Nov,11,2001,39037
Dec-01,Dec,12,2001,64425
Jan-02,Jan,1,2002,79491
Feb-02,Feb,2,2002,64122
Mar-02,Mar,3,2002,57999
Apr-02,Apr,4,2002,43106
May-02,May,5,2002,34646
Jun-02,Jun,6,2002,26367
Jul-02,Jul,7,2002,24891
Aug-02,Aug,8,2002,23494
Sep-02,Sep,9,2002,23150
Oct-02,Oct,10,2002,31451
Nov-02,Nov,11,2002,36668
Dec-02,Dec,12,2002,65611
Jan-03,Jan,1,2003,62742
Feb-03,Feb,2,2003,61307
Mar-03,Mar,3,2003,51363
Apr-03,Apr,4,2003,46472
May-03,May,5,2003,36234
Jun-03,Jun,6,2003,27704
Jul-03,Jul,7,2003,24968
Aug-03,Aug,8,2003,22166
Sep-03,Sep,9,2003,22084
Oct-03,Oct,10,2003,25736
Nov-03,Nov,11,2003,43421
Dec-03,Dec,12,2003,73760
Jan-04,Jan,1,2004,80607
Feb-04,Feb,2,2004,68760
Mar-04,Mar,3,2004,48651
Apr-04,Apr,4,2004,35580
May-04,May,5,2004,28303
Jun-04,Jun,6,2004,26967
Jul-04,Jul,7,2004,24110
Aug-04,Aug,8,2004,22446
Sep-04,Sep,9,2004,21547
Oct-04,Oct,10,2004,30541
Nov-04,Nov,11,2004,49852
Dec-04,Dec,12,2004,74682
Jan-05,Jan,1,2005,76870
Feb-05,Feb,2,2005,62924
Mar-05,Mar,3,2005,50895
Apr-05,Apr,4,2005,40258
May-05,May,5,2005,31785
Jun-05,Jun,6,2005,28351
Jul-05,Jul,7,2005,23745
Aug-05,Aug,8,2005,21897
Sep-05,Sep,9,2005,23432
Oct-05,Oct,10,2005,28502
Nov-05,Nov,11,2005,35080
Dec-05,Dec,12,2005,59959
Jan-06,Jan,1,2006,65421
Feb-06,Feb,2,2006,55662
Mar-06,Mar,3,2006,68793
Apr-06,Apr,4,2006,47329
May-06,May,5,2006,32929
Jun-06,Jun,6,2006,26417
Jul-06,Jul,7,2006,21133
Aug-06,Aug,8,2006,20893
Sep-06,Sep,9,2006,22020
Oct-06,Oct,10,2006,28106
Nov-06,Nov,11,2006,37412
Dec-06,Dec,12,2006,65663
Jan-07,Jan,1,2007,85741
Feb-07,Feb,2,2007,62484
Mar-07,Mar,3,2007,49689
Apr-07,Apr,4,2007,37437
May-07,May,5,2007,32317
Jun-07,Jun,6,2007,26503
Jul-07,Jul,7,2007,23004
Aug-07,Aug,8,2007,21550
Sep-07,Sep,9,2007,21367
Oct-07,Oct,10,2007,27978
Nov-07,Nov,11,2007,37115
Dec-07,Dec,12,2007,67194
Jan-08,Jan,1,2008,84770
