Date,mont_num,month,year,Value
199001,01,Jan,1990,553
199002,02,Feb,1990,536
199003,03,Mar,1990,398
199004,04,Apr,1990,226
199005,05,May,1990,193
199006,06,Jun,1990,40
199007,07,Jul,1990,1
199008,08,Aug,1990,2
199009,09,Sep,1990,21
199010,10,Oct,1990,99
199011,11,Nov,1990,348
199012,12,Dec,1990,658
199101,01,Jan,1991,538
199102,02,Feb,1991,323
199103,03,Mar,1991,558
199104,04,Apr,1991,336
199105,05,May,1991,247
199106,06,Jun,1991,97
199107,07,Jul,1991,6
199108,08,Aug,1991,8
199109,09,Sep,1991,12
199110,10,Oct,1991,73
199111,11,Nov,1991,305
199112,12,Dec,1991,526
199201,01,Jan,1992,539
199202,02,Feb,1992,369
199203,03,Mar,1992,400
199204,04,Apr,1992,188
199205,05,May,1992,83
199206,06,Jun,1992,50
199207,07,Jul,1992,3
199208,08,Aug,1992,0
199209,09,Sep,1992,17
199210,10,Oct,1992,99
199211,11,Nov,1992,348
199212,12,Dec,1992,625
199301,01,Jan,1993,583
199302,02,Feb,1993,489
199303,03,Mar,1993,328
199304,04,Apr,1993,267
199305,05,May,1993,140
199306,06,Jun,1993,45
199307,07,Jul,1993,14
199308,08,Aug,1993,4
199309,09,Sep,1993,24
199310,10,Oct,1993,114
199311,11,Nov,1993,369
199312,12,Dec,1993,542
199401,01,Jan,1994,482
199402,02,Feb,1994,504
199403,03,Mar,1994,343
199404,04,Apr,1994,284
199405,05,May,1994,192
199406,06,Jun,1994,33
199407,07,Jul,1994,3
199408,08,Aug,1994,2
199409,09,Sep,1994,23
199410,10,Oct,1994,175
199411,11,Nov,1994,544
199412,12,Dec,1994,578
199501,01,Jan,1995,521
199502,02,Feb,1995,321
199503,03,Mar,1995,421
199504,04,Apr,1995,336
199505,05,May,1995,246
199506,06,Jun,1995,82
199507,07,Jul,1995,3
199508,08,Aug,1995,3
199509,09,Sep,1995,15
199510,10,Oct,1995,103
199511,11,Nov,1995,221
199512,12,Dec,1995,463
199601,01,Jan,1996,489
199602,02,Feb,1996,381
199603,03,Mar,1996,375
199604,04,Apr,1996,228
199605,05,May,1996,137
199606,06,Jun,1996,36
199607,07,Jul,1996,0
199608,08,Aug,1996,1
199609,09,Sep,1996,33
199610,10,Oct,1996,163
199611,11,Nov,1996,331
199612,12,Dec,1996,481
199701,01,Jan,1997,518
199702,02,Feb,1997,438
199703,03,Mar,1997,301
199704,04,Apr,1997,262
199705,05,May,1997,58
199706,06,Jun,1997,52
199707,07,Jul,1997,6
199708,08,Aug,1997,2
199709,09,Sep,1997,11
199710,10,Oct,1997,146
199711,11,Nov,1997,307
199712,12,Dec,1997,566
199801,01,Jan,1998,502
199802,02,Feb,1998,511
199803,03,Mar,1998,426
199804,04,Apr,1998,377
199805,05,May,1998,306
199806,06,Jun,1998,98
199807,07,Jul,1998,2
199808,08,Aug,1998,0
199809,09,Sep,1998,26
199810,10,Oct,1998,188
199811,11,Nov,1998,397
199812,12,Dec,1998,583
199901,01,Jan,1999,505
199902,02,Feb,1999,474
199903,03,Mar,1999,511
199904,04,Apr,1999,393
199905,05,May,1999,211
199906,06,Jun,1999,75
199907,07,Jul,1999,7
199908,08,Aug,1999,10
199909,09,Sep,1999,22
199910,10,Oct,1999,75
199911,11,Nov,1999,295
199912,12,Dec,1999,480
200001,01,Jan,2000,478
200002,02,Feb,2000,427
200003,03,Mar,2000,414
200004,04,Apr,2000,235
200005,05,May,2000,121
200006,06,Jun,2000,23
200007,07,Jul,2000,11
200008,08,Aug,2000,2
200009,09,Sep,2000,25
200010,10,Oct,2000,193
200011,11,Nov,2000,464
200012,12,Dec,2000,443
200101,01,Jan,2001,594
200102,02,Feb,2001,530
200103,03,Mar,2001,358
200104,04,Apr,2001,380
200105,05,May,2001,69
200106,06,Jun,2001,26
200107,07,Jul,2001,7
200108,08,Aug,2001,2
200109,09,Sep,2001,18
200110,10,Oct,2001,94
200111,11,Nov,2001,325
200112,12,Dec,2001,567
200201,01,Jan,2002,582
200202,02,Feb,2002,388
200203,03,Mar,2002,452
200204,04,Apr,2002,293
200205,05,May,2002,179
200206,06,Jun,2002,37
200207,07,Jul,2002,0
200208,08,Aug,2002,3
200209,09,Sep,2002,15
200210,10,Oct,2002,184
200211,11,Nov,2002,283
200212,12,Dec,2002,536
200301,01,Jan,2003,355
200302,02,Feb,2003,454
200303,03,Mar,2003,374
200304,04,Apr,2003,409
200305,05,May,2003,163
200306,06,Jun,2003,44
200307,07,Jul,2003,0
200308,08,Aug,2003,2
200309,09,Sep,2003,9
200310,10,Oct,2003,61
200311,11,Nov,2003,436
200312,12,Dec,2003,533
200401,01,Jan,2004,546
200402,02,Feb,2004,502
200403,03,Mar,2004,233
200404,04,Apr,2004,233
200405,05,May,2004,126
200406,06,Jun,2004,44
200407,07,Jul,2004,1
200408,08,Aug,2004,1
200409,09,Sep,2004,20
200410,10,Oct,2004,189
200411,11,Nov,2004,440
200412,12,Dec,2004,513
200501,01,Jan,2005,520
200502,02,Feb,2005,421
200503,03,Mar,2005,380
200504,04,Apr,2005,330
200505,05,May,2005,146
200506,06,Jun,2005,84
200507,07,Jul,2005,0
200508,08,Aug,2005,0
200509,09,Sep,2005,51
200510,10,Oct,2005,153
200511,11,Nov,2005,279
200512,12,Dec,2005,456
200601,01,Jan,2006,514
200602,02,Feb,2006,398
200603,03,Mar,2006,585
200604,04,Apr,2006,355
200605,05,May,2006,121
200606,06,Jun,2006,15
200607,07,Jul,2006,0
200608,08,Aug,2006,5
200609,09,Sep,2006,24
200610,10,Oct,2006,176
200611,11,Nov,2006,307
200612,12,Dec,2006,521
200701,01,Jan,2007,609
200702,02,Feb,2007,436
200703,03,Mar,2007,298
200704,04,Apr,2007,273
200705,05,May,2007,135
200706,06,Jun,2007,39
200707,07,Jul,2007,0
