Date,month_num,month,year,Value
199001,01,Jan,1990,3.72
199002,02,Feb,1990,2.36
199003,03,Mar,1990,1.3
199004,04,Apr,1990,0.83
199005,05,May,1990,2.46
199006,06,Jun,1990,0.18
199007,07,Jul,1990,0.28
199008,08,Aug,1990,0.36
199009,09,Sep,1990,0.41
199010,10,Oct,1990,0.47
199011,11,Nov,1990,0.71
199012,12,Dec,1990,0.91
199101,01,Jan,1991,1
199102,02,Feb,1991,2.24
199103,03,Mar,1991,9.11
199104,04,Apr,1991,0.75
199105,05,May,1991,0.82
199106,06,Jun,1991,0.32
199107,07,Jul,1991,0.26
199108,08,Aug,1991,0.2
199109,09,Sep,1991,0.24
199110,10,Oct,1991,1.28
199111,11,Nov,1991,1.07
199112,12,Dec,1991,2.5
199201,01,Jan,1992,1.94
199202,02,Feb,1992,5.98
199203,03,Mar,1992,3.65
199204,04,Apr,1992,1.03
199205,05,May,1992,0.23
199206,06,Jun,1992,0.71
199207,07,Jul,1992,0.24
199208,08,Aug,1992,0.2
199209,09,Sep,1992,0.05
199210,10,Oct,1992,2.13
199211,11,Nov,1992,0.59
199212,12,Dec,1992,6.48
199301,01,Jan,1993,8.86
199302,02,Feb,1993,5.98
199303,03,Mar,1993,3.05
199304,04,Apr,1993,1.45
199305,05,May,1993,1.44
199306,06,Jun,1993,0.87
199307,07,Jul,1993,0.03
199308,08,Aug,1993,0.22
199309,09,Sep,1993,0.04
199310,10,Oct,1993,0.82
199311,11,Nov,1993,1.42
199312,12,Dec,1993,2.52
199401,01,Jan,1994,1.91
199402,02,Feb,1994,3.96
199403,03,Mar,1994,1.24
199404,04,Apr,1994,1.36
199405,05,May,1994,1.35
199406,06,Jun,1994,0.1
199407,07,Jul,1994,0.05
199408,08,Aug,1994,0.06
199409,09,Sep,1994,0.34
199410,10,Oct,1994,0.63
199411,11,Nov,1994,3.73
199412,12,Dec,1994,2.81
199501,01,Jan,1995,12.5
199502,02,Feb,1995,1.27
199503,03,Mar,1995,9.57
199504,04,Apr,1995,2.69
199505,05,May,1995,1.73
199506,06,Jun,1995,0.95
199507,07,Jul,1995,0.17
199508,08,Aug,1995,0.06
199509,09,Sep,1995,0.07
199510,10,Oct,1995,0.05
199511,11,Nov,1995,0.36
199512,12,Dec,1995,5.78
199601,01,Jan,1996,5.12
199602,02,Feb,1996,5.99
199603,03,Mar,1996,2.57
199604,04,Apr,1996,2.1
199605,05,May,1996,2.01
199606,06,Jun,1996,0.18
199607,07,Jul,1996,0.2
199608,08,Aug,1996,0.06
199609,09,Sep,1996,0.27
199610,10,Oct,1996,1.7
199611,11,Nov,1996,3.35
199612,12,Dec,1996,8.96
199701,01,Jan,1997,7.62
199702,02,Feb,1997,0.71
199703,03,Mar,1997,0.84
199704,04,Apr,1997,0.89
199705,05,May,1997,0.38
199706,06,Jun,1997,0.65
199707,07,Jul,1997,0.31
199708,08,Aug,1997,0.27
199709,09,Sep,1997,0.94
199710,10,Oct,1997,1.08
199711,11,Nov,1997,3.95
199712,12,Dec,1997,2.96
199801,01,Jan,1998,6.97
199802,02,Feb,1998,11.5
199803,03,Mar,1998,4.15
199804,04,Apr,1998,2.17
199805,05,May,1998,3.03
199806,06,Jun,1998,0.77
199807,07,Jul,1998,0.2
199808,08,Aug,1998,0.13
199809,09,Sep,1998,0.74
199810,10,Oct,1998,0.76
199811,11,Nov,1998,4.34
199812,12,Dec,1998,1.65
199901,01,Jan,1999,3.54
199902,02,Feb,1999,4.98
199903,03,Mar,1999,2.4
199904,04,Apr,1999,1.87
199905,05,May,1999,0.33
199906,06,Jun,1999,0.25
199907,07,Jul,1999,0.31
199908,08,Aug,1999,0.21
199909,09,Sep,1999,0.18
199910,10,Oct,1999,0.71
199911,11,Nov,1999,2.2
199912,12,Dec,1999,0.65
200001,01,Jan,2000,5.09
200002,02,Feb,2000,6.93
200003,03,Mar,2000,1.92
200004,04,Apr,2000,1.8
200005,05,May,2000,0.94
200006,06,Jun,2000,0.31
200007,07,Jul,2000,0.06
200008,08,Aug,2000,0.27
200009,09,Sep,2000,0.35
200010,10,Oct,2000,2.2
200011,11,Nov,2000,0.79
200012,12,Dec,2000,0.77
200101,01,Jan,2001,3.52
200102,02,Feb,2001,4.42
200103,03,Mar,2001,2.21
200104,04,Apr,2001,1.75
200105,05,May,2001,0.15
200106,06,Jun,2001,0.23
200107,07,Jul,2001,0.28
200108,08,Aug,2001,0.05
200109,09,Sep,2001,0.3
200110,10,Oct,2001,0.65
200111,11,Nov,2001,4.21
200112,12,Dec,2001,5.25
200201,01,Jan,2002,2.22
200202,02,Feb,2002,1.45
200203,03,Mar,2002,1.91
200204,04,Apr,2002,0.88
200205,05,May,2002,0.59
200206,06,Jun,2002,0.07
200207,07,Jul,2002,0.06
200208,08,Aug,2002,0.01
200209,09,Sep,2002,0.11
200210,10,Oct,2002,0.06
200211,11,Nov,2002,3.18
200212,12,Dec,2002,8.14
200301,01,Jan,2003,1.92
200302,02,Feb,2003,2.66
200303,03,Mar,2003,2.77
200304,04,Apr,2003,3.98
200305,05,May,2003,1.09
200306,06,Jun,2003,0.04
200307,07,Jul,2003,0.22
200308,08,Aug,2003,0.57
200309,09,Sep,2003,0.17
200310,10,Oct,2003,0.09
200311,11,Nov,2003,2.35
200312,12,Dec,2003,5.77
200401,01,Jan,2004,2.27
200402,02,Feb,2004,5.88
200403,03,Mar,2004,1.08
200404,04,Apr,2004,0.7
200405,05,May,2004,0.45
200406,06,Jun,2004,0.08
200407,07,Jul,2004,0.06
200408,08,Aug,2004,0.19
200409,09,Sep,2004,0.14
200410,10,Oct,2004,3.72
200411,11,Nov,2004,1.68
200412,12,Dec,2004,5.51
200501,01,Jan,2005,5.56
200502,02,Feb,2005,4.03
200503,03,Mar,2005,3.69
200504,04,Apr,2005,1.79
200505,05,May,2005,2.54
200506,06,Jun,2005,0.67
200507,07,Jul,2005,0.14
200508,08,Aug,2005,0.29
200509,09,Sep,2005,0.32
200510,10,Oct,2005,1
200511,11,Nov,2005,2.26
200512,12,Dec,2005,7.81
200601,01,Jan,2006,4.54
200602,02,Feb,2006,2.69
200603,03,Mar,2006,5.41
200604,04,Apr,2006,4.16
200605,05,May,2006,0.73
200606,06,Jun,2006,0.15
200607,07,Jul,2006,0.15
200608,08,Aug,2006,0.06
200609,09,Sep,2006,0.06
200610,10,Oct,2006,0.45
200611,11,Nov,2006,2.08
200612,12,Dec,2006,3.13
200701,01,Jan,2007,0.81
200702,02,Feb,2007,4.24
200703,03,Mar,2007,0.74
200704,04,Apr,2007,1.27
200705,05,May,2007,0.32
200706,06,Jun,2007,0.12
200707,07,Jul,2007,0.18
200708,08,Aug,2007,0.12
200709,09,Sep,2007,0.5
200710,10,Oct,2007,1.5
200711,11,Nov,2007,0.82
200712,12,Dec,2007,3.21
200801,01,Jan,2008,7.11
200802,02,Feb,2008,2.76
200803,03,Mar,2008,0.61
200804,04,Apr,2008,0.34
200805,05,May,2008,0.54
200806,06,Jun,2008,0.03
200807,07,Jul,2008,0.14
200808,08,Aug,2008,0.12
200809,09,Sep,2008,0.04
200810,10,Oct,2008,0.7
200811,11,Nov,2008,2.41
200812,12,Dec,2008,3.05
200901,01,Jan,2009,1.27
200902,02,Feb,2009,4.64
200903,03,Mar,2009,2.26
200904,04,Apr,2009,0.57
200905,05,May,2009,1.24
200906,06,Jun,2009,0.6
200907,07,Jul,2009,0.05
200908,08,Aug,2009,0.12
200909,09,Sep,2009,0.09
200910,10,Oct,2009,2.07
200911,11,Nov,2009,0.99
200912,12,Dec,2009,3.15
201001,01,Jan,2010,6.48
201002,02,Feb,2010,3.65
201003,03,Mar,2010,2.19
201004,04,Apr,2010,3.47
201005,05,May,2010,1.07
201006,06,Jun,2010,0.26
201007,07,Jul,2010,0.07
201008,08,Aug,2010,0.1
201009,09,Sep,2010,0.16
201010,10,Oct,2010,3
201011,11,Nov,2010,2.6
201012,12,Dec,2010,8.13
201101,01,Jan,2011,1.28
201102,02,Feb,2011,3.34
201103,03,Mar,2011,6.41
201104,04,Apr,2011,1.1
201105,05,May,2011,1.44
201106,06,Jun,2011,0.92
201107,07,Jul,2011,0.22
201108,08,Aug,2011,0.1
201109,09,Sep,2011,0.28
201110,10,Oct,2011,1.54
201111,11,Nov,2011,1.69
201112,12,Dec,2011,0.47
201201,01,Jan,2012,3.12
201202,02,Feb,2012,1.22
201203,03,Mar,2012,4.74
201204,04,Apr,2012,2.48
201205,05,May,2012,0.2
201206,06,Jun,2012,0.32
201207,07,Jul,2012,0.26
201208,08,Aug,2012,0.3
201209,09,Sep,2012,0.1
201210,10,Oct,2012,0.99
201211,11,Nov,2012,3.57
201212,12,Dec,2012,6.15
201301,01,Jan,2013,1.19
201302,02,Feb,2013,0.58
201303,03,Mar,2013,1.33
201304,04,Apr,2013,0.71
201305,05,May,2013,0.62
201306,06,Jun,2013,0.38
201307,07,Jul,2013,0.28
201308,08,Aug,2013,0.38
201309,09,Sep,2013,0.77
201310,10,Oct,2013,0.26
201311,11,Nov,2013,0.99
201312,12,Dec,2013,0.44
201401,01,Jan,2014,0.54
201402,02,Feb,2014,4.02
201403,03,Mar,2014,3.28
201404,04,Apr,2014,1.06
201405,05,May,2014,0.35
201406,06,Jun,2014,0.06
201407,07,Jul,2014,0.22
201408,08,Aug,2014,0.45
